2026-01-30 20:52:55,216 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:48:44,235 | INFO | backend.app.rag | Query received: is manas is gratuated or not?
2026-01-30 21:48:44,283 | INFO | backend.app.rag | Retrieved 3 chunks, 0 passed similarity threshold
2026-01-30 21:48:44,283 | WARNING | backend.app.rag | No relevant context found — returning I don't know
2026-01-30 21:53:09,446 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:53:44,845 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 21:53:45,000 | INFO | backend.app.vector_store | FAISS index size: 7
2026-01-30 21:53:45,001 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 21:54:12,667 | INFO | backend.app.rag | Query received: What is the logging level set to?
2026-01-30 21:54:12,761 | INFO | backend.app.rag | Retrieved 3 chunks, 1 passed similarity threshold
2026-01-30 21:54:12,762 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-30 21:56:36,386 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:56:43,243 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:56:50,099 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:56:56,071 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:57:08,228 | INFO | backend.app.rag | Query received: What is the logging level set to?
2026-01-30 21:57:08,373 | INFO | backend.app.rag | Retrieved 3 chunks, 1 passed similarity threshold
2026-01-30 21:57:08,373 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-30 21:57:27,916 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 21:57:28,040 | INFO | backend.app.vector_store | FAISS index size: 14
2026-01-30 21:57:28,040 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 21:57:43,633 | INFO | backend.app.rag | Query received: is manas is gratuated or not 
2026-01-30 21:57:43,713 | INFO | backend.app.rag | Retrieved 3 chunks, 0 passed similarity threshold
2026-01-30 21:57:43,713 | WARNING | backend.app.rag | No relevant context found — returning I don't know
2026-01-30 21:59:31,528 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:59:39,316 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 21:59:47,291 | INFO | backend.app.rag | Query received: is manas is gratuated or not 
2026-01-30 21:59:47,431 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-30 21:59:47,431 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-30 22:05:20,511 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 22:05:28,417 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 22:06:09,614 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 22:06:16,623 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 22:06:33,988 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 22:06:34,140 | INFO | backend.app.vector_store | FAISS index size: 21
2026-01-30 22:06:34,140 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 22:06:43,930 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 22:06:44,008 | INFO | backend.app.vector_store | FAISS index size: 28
2026-01-30 22:06:44,008 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 22:06:47,422 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 22:06:47,425 | INFO | backend.app.rag | Query received: will manas graduated 
2026-01-30 22:06:47,826 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-30 22:06:47,826 | INFO | backend.app.vector_store | FAISS index size: 35
2026-01-30 22:06:47,827 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-30 22:06:47,827 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 22:07:16,506 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 22:07:16,589 | INFO | backend.app.vector_store | FAISS index size: 42
2026-01-30 22:07:16,589 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 22:07:20,497 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 22:07:20,500 | INFO | backend.app.rag | Query received: what is the education level of the user 
2026-01-30 22:07:20,576 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-30 22:07:20,576 | INFO | backend.app.vector_store | FAISS index size: 49
2026-01-30 22:07:20,576 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-30 22:07:20,576 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 22:07:52,119 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 22:07:52,198 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-30 22:07:52,201 | INFO | backend.app.rag | Query received: is manas completed the graduation
2026-01-30 22:07:52,322 | INFO | backend.app.vector_store | FAISS index size: 56
2026-01-30 22:07:52,323 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 22:07:52,325 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-30 22:07:52,325 | INFO | backend.app.vector_store | FAISS index size: 63
2026-01-30 22:07:52,325 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-30 22:07:52,325 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 22:10:20,162 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 22:11:31,927 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 22:11:38,918 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 22:11:45,642 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 22:11:51,866 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 23:55:31,827 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-30 23:56:40,346 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-30 23:56:40,664 | INFO | backend.app.vector_store | FAISS index size: 73
2026-01-30 23:56:40,664 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 23:57:35,624 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-30 23:57:35,880 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-30 23:57:35,882 | INFO | backend.app.rag | Query received: which cloud cost is less
2026-01-30 23:57:36,258 | INFO | backend.app.vector_store | FAISS index size: 83
2026-01-30 23:57:36,259 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 23:57:36,281 | INFO | backend.app.vector_store | FAISS index size: 93
2026-01-30 23:57:36,281 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 23:57:36,285 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-30 23:57:36,285 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-30 23:58:37,425 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-30 23:58:37,540 | INFO | backend.app.vector_store | FAISS index size: 103
2026-01-30 23:58:37,540 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 23:58:43,477 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-30 23:58:43,479 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-30 23:58:43,573 | INFO | backend.app.vector_store | FAISS index size: 113
2026-01-30 23:58:43,573 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 23:58:46,587 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-30 23:58:46,589 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-30 23:58:46,674 | INFO | backend.app.vector_store | FAISS index size: 123
2026-01-30 23:58:46,674 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 23:58:48,137 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-30 23:58:48,139 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-30 23:58:48,222 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-30 23:58:48,222 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-30 23:58:48,224 | INFO | backend.app.vector_store | FAISS index size: 133
2026-01-30 23:58:48,224 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 23:58:57,343 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-30 23:58:57,345 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-30 23:58:57,423 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-30 23:58:57,423 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-30 23:58:57,425 | INFO | backend.app.vector_store | FAISS index size: 143
2026-01-30 23:58:57,425 | INFO | backend.app.rag | Document indexed successfully
2026-01-30 23:58:59,551 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-30 23:58:59,553 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-30 23:58:59,665 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-30 23:58:59,665 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-30 23:58:59,668 | INFO | backend.app.vector_store | FAISS index size: 153
2026-01-30 23:58:59,668 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:00:58,329 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:00:58,332 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-31 00:00:58,573 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:00:58,573 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:01:01,001 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:01:01,003 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-31 00:01:01,088 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:01:01,089 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:01:01,092 | INFO | backend.app.vector_store | FAISS index size: 173
2026-01-31 00:01:01,092 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:03:07,237 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:03:14,737 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:03:18,536 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:03:18,687 | INFO | backend.app.vector_store | FAISS index size: 183
2026-01-31 00:03:18,687 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:03:20,862 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:03:20,865 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-31 00:03:20,956 | INFO | backend.app.vector_store | FAISS index size: 193
2026-01-31 00:03:20,956 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:03:20,956 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:03:20,956 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:03:23,586 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:03:23,588 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-31 00:03:23,670 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:03:23,670 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:03:23,673 | INFO | backend.app.vector_store | FAISS index size: 203
2026-01-31 00:03:23,673 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:03:25,467 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:03:25,469 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-31 00:03:25,581 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:03:25,581 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:03:25,583 | INFO | backend.app.vector_store | FAISS index size: 213
2026-01-31 00:03:25,583 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:09:00,613 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:11:25,944 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:11:26,254 | INFO | backend.app.vector_store | FAISS index size: 10
2026-01-31 00:11:26,254 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:11:29,840 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:11:29,843 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-31 00:11:29,952 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:11:29,952 | INFO | backend.app.vector_store | FAISS index size: 20
2026-01-31 00:11:29,952 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:11:29,952 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:13:23,335 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:13:23,337 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-31 00:13:23,501 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:13:23,501 | INFO | backend.app.vector_store | FAISS index size: 30
2026-01-31 00:13:23,502 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:13:23,502 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:13:30,707 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:13:30,784 | INFO | backend.app.vector_store | FAISS index size: 40
2026-01-31 00:13:30,784 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:13:39,493 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:13:39,496 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-31 00:13:39,584 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:13:39,584 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:13:39,587 | INFO | backend.app.vector_store | FAISS index size: 50
2026-01-31 00:13:39,587 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:13:56,552 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:13:56,662 | INFO | backend.app.vector_store | FAISS index size: 60
2026-01-31 00:13:56,662 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:14:34,926 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:14:34,928 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-31 00:14:35,084 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:14:35,084 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:14:35,087 | INFO | backend.app.vector_store | FAISS index size: 70
2026-01-31 00:14:35,087 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:17:57,761 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:18:22,253 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:18:22,430 | INFO | backend.app.vector_store | FAISS index size: 10
2026-01-31 00:18:22,430 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:18:45,449 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:18:45,451 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-31 00:18:45,564 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:18:45,564 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:18:45,572 | INFO | backend.app.vector_store | FAISS index size: 20
2026-01-31 00:18:45,573 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:20:09,454 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:20:17,438 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:20:30,653 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:20:37,740 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:20:44,601 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:20:50,929 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:21:09,429 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:21:09,565 | INFO | backend.app.vector_store | FAISS index size: 30
2026-01-31 00:21:09,565 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:21:12,247 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:21:12,249 | INFO | backend.app.rag | Query received: is cicd cover in document
2026-01-31 00:21:12,332 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:21:12,332 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:21:12,341 | INFO | backend.app.vector_store | FAISS index size: 40
2026-01-31 00:21:12,341 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:21:24,855 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:21:25,126 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:21:25,129 | INFO | backend.app.rag | Query received: what is the cost 
2026-01-31 00:21:25,209 | INFO | backend.app.vector_store | FAISS index size: 50
2026-01-31 00:21:25,210 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:21:25,230 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:21:25,230 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:21:25,233 | INFO | backend.app.vector_store | FAISS index size: 60
2026-01-31 00:21:25,233 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:21:37,524 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:21:37,613 | INFO | backend.app.vector_store | FAISS index size: 70
2026-01-31 00:21:37,613 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:21:41,014 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:21:41,017 | INFO | backend.app.rag | Query received: does document have cicd 
2026-01-31 00:21:41,098 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:21:41,099 | INFO | backend.app.vector_store | FAISS index size: 80
2026-01-31 00:21:41,099 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:21:41,099 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:22:20,482 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:22:20,597 | INFO | backend.app.vector_store | FAISS index size: 90
2026-01-31 00:22:20,597 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:22:21,595 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:22:21,598 | INFO | backend.app.rag | Query received: does document have ci/cd 
2026-01-31 00:22:21,664 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:22:21,664 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:22:21,666 | INFO | backend.app.vector_store | FAISS index size: 100
2026-01-31 00:22:21,666 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:23:14,337 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:23:14,603 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:23:14,606 | INFO | backend.app.rag | Query received: give me a summary of the document
2026-01-31 00:23:14,695 | INFO | backend.app.vector_store | FAISS index size: 110
2026-01-31 00:23:14,695 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:23:14,726 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:23:14,726 | INFO | backend.app.vector_store | FAISS index size: 120
2026-01-31 00:23:14,726 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:23:14,726 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:23:42,965 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:23:43,230 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:23:43,233 | INFO | backend.app.rag | Query received: give me a summary of the document completely
2026-01-31 00:23:43,307 | INFO | backend.app.vector_store | FAISS index size: 130
2026-01-31 00:23:43,307 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:23:43,337 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:23:43,337 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:23:43,339 | INFO | backend.app.vector_store | FAISS index size: 140
2026-01-31 00:23:43,339 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:24:48,375 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:24:57,309 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:25:08,732 | INFO | backend.app.rag | Ingesting 10 chunks
2026-01-31 00:25:08,735 | INFO | backend.app.rag | Query received: give me a summary of the document completely
2026-01-31 00:25:08,897 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:25:08,897 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:25:08,909 | INFO | backend.app.vector_store | FAISS index size: 150
2026-01-31 00:25:08,909 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:25:35,237 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:25:42,662 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:25:49,486 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:25:56,849 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:26:10,696 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-31 00:26:10,848 | INFO | backend.app.vector_store | FAISS index size: 157
2026-01-31 00:26:10,848 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:26:13,587 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-31 00:26:13,590 | INFO | backend.app.rag | Query received: give me a summary of the document completely
2026-01-31 00:26:13,668 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:26:13,668 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:26:13,668 | INFO | backend.app.vector_store | FAISS index size: 164
2026-01-31 00:26:13,670 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:26:44,495 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:26:51,465 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:26:57,777 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-31 00:26:57,780 | INFO | backend.app.rag | Query received: give me a summary of the document completely
2026-01-31 00:26:57,947 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:26:57,947 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:26:57,949 | INFO | backend.app.vector_store | FAISS index size: 171
2026-01-31 00:26:57,957 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:27:24,600 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-31 00:27:24,666 | INFO | backend.app.vector_store | FAISS index size: 178
2026-01-31 00:27:24,666 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:27:28,452 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-31 00:27:28,455 | INFO | backend.app.rag | Query received: give me a summary of the document completely
2026-01-31 00:27:28,517 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:27:28,517 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:27:28,519 | INFO | backend.app.vector_store | FAISS index size: 185
2026-01-31 00:27:28,519 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:29:12,788 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:29:20,840 | INFO | backend.app.main | Ask-the-Docs backend started successfully
2026-01-31 00:29:27,631 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-31 00:29:27,634 | INFO | backend.app.rag | Query received: give me a summary of the document completely
2026-01-31 00:29:27,814 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
2026-01-31 00:29:27,814 | INFO | backend.app.rag | Sending prompt to Groq
2026-01-31 00:29:27,821 | INFO | backend.app.vector_store | FAISS index size: 192
2026-01-31 00:29:27,822 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:29:40,934 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-31 00:29:40,999 | INFO | backend.app.vector_store | FAISS index size: 199
2026-01-31 00:29:40,999 | INFO | backend.app.rag | Document indexed successfully
2026-01-31 00:29:46,322 | INFO | backend.app.rag | Ingesting 7 chunks
2026-01-31 00:29:46,328 | INFO | backend.app.rag | Query received: give me a summary of the document completely
2026-01-31 00:29:46,396 | INFO | backend.app.rag | Retrieved 3 chunks, 3 passed similarity threshold
